TripID,TripDistance,FareAmount,RideCategory,SurgePricing,CustomerRating,PeakHour,Revenue,RideDemand,WaitTime,DriverRating,CancellationRate
1044,7.36,9.33,Economy,1.0,4.78,Peak,17.63,99,6.4,4.67,0.037
1045,14.92,71.47,Shared,2.0,4.15,Non-Peak,75.13,94,9.4,4.78,0.062
1046,11.28,52.41,Shared,1.5,4.36,Peak,65.8,118,4.9,4.28,0.035
1047,2.66,12.59,Economy,1.0,5.0,Non-Peak,13.78,80,7.1,4.71,0.065
1048,10.28,39.19,Economy,1.5,4.18,Non-Peak,40.02,36,6.6,4.77,0.055
1049,13.81,49.24,Premium,1.0,3.97,Peak,54.56,110,4.1,4.38,0.019
1050,3.89,20.87,Economy,2.0,4.75,Non-Peak,23.43,63,11.4,4.72,0.084
1051,21.09,63.06,Economy,1.25,5.0,Peak,70.16,85,7.9,4.72,0.038
1052,2.72,14.13,Economy,1.25,4.45,Non-Peak,17.58,76,9.1,4.39,0.036
1053,23.23,67.76,Premium,1.0,4.11,Peak,81.91,139,4.1,4.21,0.038
1054,3.83,38.66,Premium,1.75,4.3,Non-Peak,36.88,97,6.1,4.19,0.041
1055,21.32,65.28,Premium,1.0,4.57,Peak,76.69,96,5.2,4.58,0.035
1056,22.71,69.64,Premium,1.0,4.6,Peak,74.88,101,5.6,4.65,0.059
1057,24.52,56.19,Economy,1.0,4.34,Peak,66.76,132,4.8,4.31,0.037
1058,20.35,185.0,Premium,1.5,4.64,Non-Peak,186.79,40,10.2,4.56,0.044
1059,19.82,55.12,Economy,1.0,4.8,Non-Peak,57.06,44,6.4,4.72,0.022
1060,16.6,68.78,Economy,1.75,3.97,Non-Peak,71.23,70,9.0,4.74,0.054
1061,19.81,69.18,Premium,1.25,4.76,Non-Peak,73.08,25,6.6,5.0,0.036
1062,4.66,20.6,Economy,1.0,5.0,Non-Peak,20.38,45,7.6,4.93,0.024
1063,14.1,47.25,Premium,1.0,4.7,Non-Peak,46.91,78,6.1,4.25,0.044
1064,13.58,52.49,Premium,1.0,4.56,Peak,61.51,95,4.5,5.0,0.004
1065,21.65,68.12,Premium,1.1,4.58,Non-Peak,70.7,62,6.4,4.39,0.047
1066,12.38,66.17,Premium,1.5,4.65,Non-Peak,70.66,52,7.9,4.86,0.044
1067,10.55,40.74,Premium,1.0,4.17,Peak,47.07,118,4.6,4.57,0.036
1068,16.53,63.08,Economy,1.5,4.52,Peak,67.24,89,9.9,4.43,0.033
1069,7.76,28.33,Economy,1.0,4.54,Non-Peak,26.92,64,6.3,4.01,0.05
1070,4.78,21.83,Economy,1.5,4.99,Peak,35.02,126,6.0,4.5,0.069
1071,12.73,54.0,Economy,1.75,4.34,Non-Peak,54.88,63,5.5,4.08,0.074
1072,11.3,43.0,Economy,1.5,4.94,Peak,51.77,101,5.6,4.84,0.027
1073,6.97,25.23,Shared,1.25,4.25,Peak,37.28,87,6.2,5.0,0.052
1074,10.14,34.7,Economy,1.5,4.64,Non-Peak,36.08,90,6.2,4.31,0.056
1075,10.11,29.79,Economy,1.0,4.74,Peak,38.4,119,7.1,4.64,0.006
1076,9.2,23.08,Economy,1.0,4.41,Peak,27.8,114,4.9,4.33,0.03
1077,10.42,32.52,Economy,1.0,4.7,Non-Peak,32.8,49,8.7,4.36,0.035
1078,17.61,50.54,Premium,1.1,4.95,Non-Peak,53.5,55,7.0,4.78,0.042
1079,8.48,38.42,Premium,1.25,4.47,Peak,42.51,115,5.9,4.54,0.043
1080,23.8,76.95,Premium,1.25,4.09,Peak,84.8,146,5.0,5.0,0.044
1081,23.03,92.19,Premium,1.5,4.47,Non-Peak,94.4,88,7.3,4.41,0.072
1082,12.8,34.15,Economy,1.0,4.4,Non-Peak,35.86,89,8.4,4.85,0.048
1083,9.22,28.89,Shared,1.25,4.47,Non-Peak,34.07,46,4.1,4.58,0.0
1084,14.08,34.96,Economy,1.0,4.63,Peak,42.99,76,3.1,4.79,0.025
1085,21.44,51.53,Economy,1.0,4.17,Peak,60.28,68,5.5,4.42,0.028
1086,16.84,53.37,Economy,1.25,4.11,Peak,61.5,121,5.7,4.54,0.014
1087,20.4,107.73,Premium,2.0,4.43,Peak,115.12,149,8.3,4.52,0.071
1088,14.02,42.26,Economy,1.1,4.47,Non-Peak,44.4,59,7.5,4.3,0.053
1089,16.37,43.66,Economy,1.0,3.93,Peak,51.21,113,4.6,4.75,0.014
1090,8.27,39.05,Premium,1.1,4.83,Non-Peak,39.55,71,8.1,4.75,0.039
1091,18.77,48.52,Economy,1.0,4.73,Non-Peak,51.31,85,7.4,4.73,0.016
1092,6.26,41.34,Premium,1.5,4.28,Non-Peak,44.45,47,8.6,5.0,0.04
1093,17.83,63.42,Economy,1.25,4.19,Peak,72.59,86,8.0,4.98,0.062
1094,21.73,52.46,Economy,1.0,4.88,Non-Peak,56.43,39,7.4,4.44,0.022
1095,4.6,13.89,Economy,1.0,4.75,Non-Peak,18.21,52,5.9,4.66,0.037
1096,15.94,49.05,Premium,1.0,5.0,Non-Peak,53.92,93,6.7,4.36,0.002
1097,3.73,22.28,Economy,2.0,4.42,Peak,33.46,85,9.0,4.56,0.098
1098,18.55,45.41,Economy,1.1,4.72,Peak,56.49,150,4.6,4.37,0.043
1099,3.49,15.46,Economy,1.5,4.43,Non-Peak,13.7,45,10.6,5.0,0.047
1100,23.49,68.56,Shared,1.25,4.79,Peak,74.02,108,2.4,4.66,0.049
1101,4.73,16.28,Shared,1.1,4.79,Peak,21.03,128,3.0,4.48,0.013
1102,24.03,70.07,Premium,1.0,5.0,Non-Peak,72.31,99,3.7,4.91,0.048
1103,20.32,83.92,Economy,1.75,4.24,Non-Peak,84.78,21,9.2,3.9,0.055
1104,15.45,210.0,Shared,1.0,4.53,Non-Peak,211.67,80,5.6,3.95,0.027
1105,19.89,68.59,Premium,1.1,4.48,Peak,79.89,92,3.7,4.79,0.027
1106,20.19,73.13,Premium,1.25,4.78,Non-Peak,74.79,81,5.2,4.57,0.031
1107,23.73,68.9,Economy,1.25,4.98,Peak,73.17,125,4.3,4.63,0.05
1108,7.45,39.63,Economy,1.75,4.26,Non-Peak,41.17,81,11.9,4.15,0.064
1109,15.37,39.57,Economy,1.0,4.53,Non-Peak,41.72,28,10.0,4.54,0.04
1110,3.73,6.73,Shared,1.1,4.7,Peak,14.12,127,4.5,5.0,0.034
1111,15.98,39.88,Economy,1.0,4.58,Peak,46.15,95,5.1,4.8,0.038
1112,5.53,19.93,Economy,1.1,4.88,Peak,28.69,96,4.2,4.6,0.028
1113,14.78,33.92,Economy,1.0,4.02,Non-Peak,39.21,76,3.2,4.42,0.063
1114,14.95,50.65,Premium,1.0,4.42,Non-Peak,53.27,39,6.8,4.43,0.006
1115,12.45,26.57,Economy,1.0,4.43,Non-Peak,29.75,69,4.8,3.91,0.049
1116,13.78,38.66,Shared,1.0,4.0,Non-Peak,38.36,72,6.1,4.63,0.051
1117,19.45,69.56,Premium,1.1,4.35,Non-Peak,71.38,71,4.1,4.8,0.021
1118,20.28,65.57,Premium,1.1,4.36,Non-Peak,69.45,43,6.1,4.08,0.067
1119,13.07,43.65,Economy,1.25,4.51,Peak,48.23,125,5.8,4.35,0.055
1120,15.59,41.66,Premium,1.0,4.96,Peak,48.22,142,5.0,4.2,0.045
